"Sample","HarvestDate"
"NM31","07/07/23"
"SP03","07/07/23"
"R+S10","07/07/23"
"RP07","07/07/23"
"NM01","07/07/23"
"S+T12","07/07/23"
"TC13","07/07/23"
"NM29","07/12/23"
"NM32","07/12/23"
"TC03","07/12/23"
"SP05","07/12/23"
"RP04","07/12/23"
"R+S08","07/12/23"
"S+T10","07/12/23"
"NM07","07/18/23"
"NM13","07/18/23"
"SP01","07/18/23"
"SP34","07/18/23"
"S+T03","07/18/23"
"TC14","07/18/23"
"SP32","07/18/23"
"NM38","07/19/23"
"NM34","07/19/23"
"SP30","07/19/23"
"SP06","07/19/23"
"TC11","07/19/23"
"S+T14","07/19/23"
"R+S01","07/19/23"
"NM03","07/25/23"
"S+T05","07/25/23"
"S+T02","07/25/23"
"TC08","07/25/23"
"TC01","07/25/23"
"SP31","07/25/23"
"SP37","07/25/23"
"NM12","07/26/23"
"S+T01","07/26/23"
"R+S05","07/26/23"
"RP05","07/26/23"
"RP03","07/26/23"
"SP33","07/26/23"
"SP11","07/26/23"
"NM35","08/01/23"
"S+T04","08/01/23"
"TC05","08/01/23"
"RP06","08/01/23"
"SP04","08/01/23"
"SP10","08/01/23"
"NM08","08/01/23"
"NM06","08/02/23"
"R+S04","08/02/23"
"S+T09","08/02/23"
"TC10","08/02/23"
"RP01","08/02/23"
"SP14","08/02/23"
"SP02","08/02/23"
"NM02","08/08/23"
"TC02","08/08/23"
"R+S03","08/08/23"
"SP08","08/08/23"
"RP08","08/08/23"
"S+T11","08/08/23"
"NM33","08/08/23"
"SP36","08/08/23"
"NM05","08/15/23"
"R+S06","08/15/23"
"SP07","08/15/23"
"RP09","08/15/23"
"R+S09","08/15/23"
"TC09","08/15/23"
"SP12","08/15/23"
"NM37","08/15/23"
"R+S02","08/16/23"
"NM04","08/16/23"
"TC04","08/16/23"
"S+T07","08/16/23"
"NM09","08/16/23"
"TC12","08/16/23"
"S+T13","08/16/23"
"SP13","08/16/23"
"SP35","08/16/23"
